Location,link,writer,time,text
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWuhxQGz1kdNr-vZmrs56A8U2JQC_0y9LK2SAlT218KC6jhs_A=w43-h43-p-rp-mo-ba4-br100,Eliza,a year ago,"I can’t speak for any other department but Labor & Delivery and Maternity were absolutely fantastic. From the nurses at the front desk to the surgical staff during my C-Section and everyone that assisted during my 2.5 day recovery, …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXJUe111lHSDK2yajetqu27AQS_WhyfWGABNzKg0ZM1EFe0wzN_=w43-h43-p-rp-mo-ba3-br100,KM D,5 months ago,"Before providing me with medical care, the staff here insisted I take a pregnancy test, and I am a 55 year old woman being treated for cancer with online records showing I am post menopausal. Idiotic and insulting, but I guess the Catholics here are still desperate for a miracle birth."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjV76UIBL0T8itQ5Dsvy_nFJIO6ce_Fd2PKPhCUXlOlqDWBrH7WP=w43-h43-p-rp-mo-ba4-br100,TL M,8 months ago,"Heads up that the original entrance off 87th Ave is no longer there. You now need to turn West off 86th at 169th street, through the construction, to access the parking lot. Congested but not as bad as I expected it to be."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXQdQf88j1AGnymLDOKeI7qJEsuU38emKMgGBko0ZzKexicJpbr5A=w43-h43-p-rp-mo-ba3-br100,Q B,11 months ago,The staff at this hospital need to get better at communication and transparency. Sharing a room with 3 other patients and one of them screaming at the top of her lungs and not a single nurse tended to her needs. Sadly that patient passed …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXMeBob6dUEsFAKIrxGXveOfbfsl3-t1SIgCJ4NbEyRprwMeAs=w43-h43-p-rp-mo-ba3-br100,B Dunford,a year ago,"Had my second surgery at this hospital. The overnight with my first surgery was a complete gong show. This second time was much better as far as cleanliness and care goes. The RN, Marian, was absolutely wonderful, and I felt I was in such …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLUA6nK1paquwe7BpTFCTeNvhJpUFgD5Nru-u_YE-fBULf6UQ=w43-h43-p-rp-mo-br100,Erica Robbins,a year ago,"We had the most amazing experience at this hospital. My daughter went into labour on 3 occasions and we were forced to experience every wing on the 3rd floor ( labour & delivery). The nurses in every wing were attentive, patient and …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWythc2mPZ4kAw6q7qi17_9_QfMbNe1VES4H4wuy18rXgdCuPUw=w43-h43-p-rp-mo-ba2-br100,Alli Anderson,3 weeks ago,If I could leave zero Stars I would. They told a suicidal person to go home after I had just tried to kill myself. After I said I was still suicidal and would find a way to kill myself if they sent me home. STAY AWAY FROM DR LEIA!!
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUF0jVZllr7eFqXxPvJb1_Xjb4veUbZItXNuNuvmm9d_fMQOwA1=w43-h43-p-rp-mo-ba3-br100,Mathew Flower,4 months ago,"They are just there for a paycheck, thats it, I went in on section 10 mental health breakdown they kept me for like 13 hours, the psychologist is the only person who was willing to hear my background and what lead to where I was then, I …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjV_vhKcBNZFfMS7UjNkuX2UahfUViIxGZy1RYrY85lunXme-S7n=w43-h43-p-rp-mo-ba5-br100,Cora Echo,7 months ago,Granted this was 2010 but dr Moysa and the team he had working with him were great.  Although it was an elective surgery and I had one minor or two minor issues after I learned a valuable lesson too try to be relaxed before they put uyou …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWWO9TMIuVg1zylPsnOMXZf3HiNMWGB_njK_6OW67OwTo5heucV=w43-h43-p-rp-mo-br100,Jordan Degeling,9 months ago,"I have a long history of bad hospital visits where the doctors, nurses or paramedics made me feel worse than my illness. I was hesitant to even come to a hospital today when I cut myself pretty bad on some glass, because I was scared of …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocIZkdMybQuTZHMctUfQ3_0y5NNLTCL_YO2jUboBZ4Vujl53HA=w43-h43-p-rp-mo-br100,Karen Cooper,a year ago,Twice in the past 2 years I have had to visit the Emergency Room at the Misericordia Hospital. Both times I was treated incredibly well. The ER Doctors did everything in their power to diagnose and treat my illnesses. The nurses went above …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXxxhC-DaLjIQ8YWazFcHnvk_c9fioM2OszeebIRnX9bfieD8Zh=w43-h43-p-rp-mo-ba4-br100,Blair Beaudoin,a month ago,"It's great. The doctors,nurses,cleaners are all very polite and helpful with your needs."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVOJ0gFZWGcsFgSZLZSsV2Pz-nw0B71v-KIFnLmenrldysZ4Y4T=w43-h43-p-rp-mo-br100,Darryl Hedstrom,8 months ago,"I had Day Surgery today March 21st at the Misericordia Hospital.  I would like to thank my surgeon Dr. Phil Bach. And his staff, they were very professional and friendly. I was treated with the utmost care and kindness. Also my personal …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocKFvVPUh4XTFgLkGxXoAyzxGeE7bc7QCxLV-XzLYoHOB0KtiQ=w43-h43-p-rp-mo-br100,stephanie wawrzynowski,8 months ago,"This is the worst hospital ever, their service are extremely slow. When I was admitted to ER, they got me an exam room 2 hours later. The ER workers treats you better than nurses. Then I got a room 2 days later. I had this one nurse, I …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocJvKTcWaXTlr3BhABN63w6mjaQMqzsbv23pLtcWBU1t2UCJJA=w43-h43-p-rp-mo-ba4-br100,Brittney King,a year ago,"I’ve only been here once, and the nurses are so rude. First, when I was waiting in the emergency waiting room, I went up a couple times to talk to the nurses and there was one that was super rude and kept pretending she couldn’t hear me. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLTJ8Fhf8arfO7VlScCx6SU_idRUnwKJ8NBJkAr2zIIqEfEsQE=w43-h43-p-rp-mo-br100,M H,a year ago,"While wait times are insane, I have to say every single staff was absolutely amazing, kind and caring! I was so impressed by such caring doctors and nurses, truly grateful. My only complaint is not enough visible security, lots of sketchy …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXvvdQJuVp3VyXmcRvBzcGcyKFFfChA_pItDGUVaGRCBZCRSiAr=w43-h43-p-rp-mo-ba2-br100,A&L Hiatt,9 months ago,"Id drive to Calgary before I go here again.  Absolutely useless.  And they seem to like to give meds that aren't tested for or indicated for the condition.
Certain tests weren't run despite being told they should be. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocJ88tflk6R7vtnoz9T2Fe8t_6aZmcFoVZYNRNiEGzk4q9Xj7A=w43-h43-p-rp-mo-br100,Chris Tianong Salazar,2 weeks ago,"We arrived 5am,,,my son is having a chest pain and at the same time dry cough,,,it is already 12:35pm and still no no doctor ever had a chance to see him.How can you put a big sign SAYING ""EMERGENCY"" IN YOUR NEW BUILDING IF THE SYSTEM IS …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVWEYnNr2HDbHb17WlOrN8kMkfik973ab0QC6O2ooaNH_YE752h=w43-h43-p-rp-mo-ba2-br100,Sarah,4 months ago,There are signs saying to respect staff and nurses but one nurse is super rude and its like you can’t even ask questions from her. What a terrible experience with that nurse.
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVsH6HgrBDLKEx8bFmSj2d2qUMNCUWAAWA92KDQSuQXOXLp8OA=w43-h43-p-rp-mo-br100,David Peckford,10 months ago,Last week was very scary when I first arrived. I wasn't sure if I'd make it but Dr. Wilson helped me get better and Nora on 7th floor East was absolutely Amazing... she treats everyone soon well and works soon hard ... BEST NURSE AWARD . …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUvZoYnkk360Oop5YDzgMSePkUstULGTuVRN8-pOxw35VDbWeo=w43-h43-p-rp-mo-ba2-br100,Elijah Roberts,7 months ago,"If I could leave zero stars I would. Dirtiest looking hospital Ive ever stepped foot in' in my entire life. Zero parking, people are yelling at each other in the parking lot claiming spots, my wife just parked on the side of the road a …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLZuaa4SFrpNCDB8efmdX6-QbTDQW2K3TDKn_WIZMh42t-cpgo=w43-h43-p-rp-mo-br100,Truthfully Yours,a year ago,Had a terrible experience in the ICU unit with a particular nurse.  She was very verbally abusive towards me.   I was having brain seizures and was transferred into the medical unit the next morning.   The unit I was transferred to was not …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocJ8sq7Bg6bLgzLJaR9QHPc6i7JDBTzKqb3Q0RwVrJDLRERwRg=w43-h43-p-rp-mo-br100,glenn thimer,a year ago,"I am here at the Misericirdia hospital for a bilateral hip transplant. It took a long time to get here, but I’m sitting in my bed receiving recovering now. So far my experience has been perfection. The surgery and pre op staff were all …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVStthWNrRR-17usqqKMnkLyQoROq7L02RecSOMbINsadtARS0QTg=w43-h43-p-rp-mo-ba3-br100,ebram Ishak,7 months ago,I always appreciate doctors and nurses the amount of work they done during COVID is beyond amazing. I know how hard it was since a couple of family members work at royal alex and u of a. That. Being said Please if you are a doctor or a …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWHIYewwdLMEJjmspeHpqZMF_gQYwpvcF1OQpdrjHB_N38e_UA=w43-h43-p-rp-mo-br100,Whose Bacon,8 months ago,I’ll always be grateful to the Mis for taking care of me 5 years ago for a life threatening issue; but this recent experience was so bad. Nurses were great and the renovated ER looks great ; but Dr W has the bedside manner of a brick wall. …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWThZ85daeduJUvtcZwLPujGXrEWj-ZF7e0gzdcajCkXzPEdI11=w43-h43-p-rp-mo-ba3-br100,Jim Webb,5 months ago,"Went in for day surgery recently and everyone at the hospital was amazing.  Wonderful people, helpful, caring and friendly.  No complaints at all."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVIRheSWnbO6c1A1vCgbXpciRZcpzi2UGqk9UqtdPt8xhr2M3N1=w43-h43-p-rp-mo-br100,Magic Man,7 months ago,"Slowest wait times ever. Seven hours and still counting. My throat feels like it's about to close on me, and symptoms have gotten worse with time, yet it seems like I'll be here for another few hours as I'm not a priority from what I was …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocL3L385mgsQVwqMkBpvoj_Xtzp867a9N0HmJnTZ8AdWyNG8vQ=w43-h43-p-rp-mo-br100,opo kangam,9 months ago,Our system is not good yes healthcare is free but you have to wait 9hrs to get treated. I’d rather pay money get treated fast then wait. why is the parking not free?!! You have to pay?! Whered all money going to? People are scare because …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjX-sJF1nziBpSMtoa-Q_jAyhcjSp6L0lngUrs1pJfHZRYCcPx0=w43-h43-p-rp-mo-ba4-br100,josXmac,a year ago,"Amazing caregivers and staff. Felt well taken care of by everyone at the Mis. It's not a pleasant experience to have to go to the hospital, we all know this. The team there truly makes you feel comfortable and does what they can to help. It …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjW-Fm_Gc1p8Bc__mLS2m3V7W_jcwyEgidJz30VFjkCMfk4stqZ0=w43-h43-p-rp-mo-ba4-br100,Stefanie B,a year ago,I just gave birth to my son here a few days ago. I was initially very nervous since I just moved to the province from Ontario a few months ago and knew nothing about any of the local hospitals and their reputations. I must say I was all …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWNrdiUOnBwG7NNblxjZ2OnvL1TsY5yFpO4Z1DxaXWJyut7U2M=w43-h43-p-rp-mo-br100,Ethan R,a year ago,"Had to go to the ER last night for a variety of symptoms. Once seen and put into a room (which definitely varies based on what level of emergency you are having, but for me was very quick) a super sweet nurse named Joanne helped tend to me. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWypdqpe_hLFb065JsTvDZYrJ6qng4SZE_u6-znNKe3Qa6EcDyH=w43-h43-p-rp-mo-ba3-br100,Peter LaBlanc,10 months ago,"Had left hip replacement surgery in the beginning of the month ( jan 11th) and have not regretted it. At first it was a bit of a gong show to find out exactly where to go, the front desk sent me to the wrong floor, how, I have no idea, but …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLKBfGfUoXWo4_mcKhAYm1Q4FQ1FyUKX57ymrMPZsyMcpzO2w=w43-h43-p-rp-mo-br100,Diana Mejia,a year ago,"The emergency room is full of illness people, feeling bad and sick, while the very unconsidered nurses chat and laugh to each other; they treat the patients very poorly. Now days it seems that compassion is not part of their job anymore. A …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXSsgP1mEJDz5gCWz--azwKeROAEQaPOPUzNIWljlU9vZyDlA=w43-h43-p-rp-mo-ba2-br100,Carol Dunbar,a year ago,"I had day surgery and everyone I encountered was wonderful. From the the admitting clerk to all the nurses and doctors. I was informed on every step and felt very comfortable. A huge thank you to all the staff. I wish I could remember the names of the two nurses that took care of me pre and post surgery, they were amazing."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocL4EWN4eWNm4GWEvr-athay2ErOBzgpuDuCiLOooZfY4ZoBOUM=w43-h43-p-rp-mo-br100,Angela “Gelz”,7 months ago,My Auntie was admitted in this hospital for like 2 weeks. She was brought to U OF A hospital and admitted in the ICU. I called the misericordia hospital to ask what happened to my Auntie why she was brought to U OF A ICU or if she was …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocIw_ZoHj0vaWWERNyhMb97ohsGD1F39GYHqwiw0dnMZXYLmtQ=w43-h43-p-rp-mo-br100,Fabio Monteiro,10 months ago,The waiting times are absurd. I got surgery 2 days ago and due to a infection had to comeback. I'm waiting for 4 hours at emergency when the nurse that I called told me I needed to be seen by a doctor urgently. They don't care and are …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUS5BSx6wMIxjJfv-72QotkaKHzDLyeMep7VlwY8O5UXrGEEILc=w43-h43-p-rp-mo-ba2-br100,Carrie Doucette,a year ago,The ER staff was exceptional overnight.The shift change day staff could do better. My nurse was obviously inundated and not very responsive and sympathetic to someone who had a life threatening condition and being put in a hallway with an …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXgn3jjE-wwbAIAxWOxRDHvGDHFhxcpDV3El6mCKCTWePQR-g2W=w43-h43-p-rp-mo-br100,Raz,2 months ago,"waited 9 hours to see a doctor after a very bad emergency, the staff was mostly nice until midnight and then they were all very rude for no reason"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocJuGSkGHZe3luxpXtMHrFIvlKyJLJ15hLoQantm5BDlhneJ_A=w43-h43-p-rp-mo-ba2-br100,Tino,11 months ago,Worst experience ever! Was admitted to Misicordia to drain the fluids from my left lung. Ok! Once that was finished had to stay overnight for observation. Again. Understood. Was there perhaps 7-10 days? Can't remember? Anyways. After my …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUHSFlljvbFY1MxVRFTXDlIDTccmeoTtQ_wGGVR7jk2z-_oZk4=w43-h43-p-rp-mo-br100,Taz Johnson-McGillis,10 months ago,"Just got kicked by security for complaining about getting the run around. We are seniors, I live in constant pain , walking back and forth because the right hand doesn't know what the left hand us doing is frustrating. The emerg staff …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVvO1hO_UxjaTA8JIOaPnBt8t3dVj0Y5lVy53xcTiY9MCEUR6HEyg=w43-h43-p-rp-mo-br100,Susan Box,a year ago,"I have had numerous experiences  at the Mis, personally and with family members. I was less than impressed with the care we received until now. The nursing staff, the doctors and most everyone who has been part of my stepmom's care have …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocK1Vq3gzrDzCICogTiyLFOZpJg2UFiLsy4bDxBVHNCQOCzTgw=w43-h43-p-rp-mo-br100,Tamara Harper,3 months ago,"!!!!!!DONT HAVE YOUR BABY HERE!!!!!

WORST EXPERIENCE OF MY LIFE. THEY PUSH FOR UNNECESSARY C-SECTIONS. IT FELT LIKE …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocJsKjEZjxRdg3MKvKyOJs8h5Wvl8kL6em4S3WJyJwKwAhE0MA=w43-h43-p-rp-mo-br100,bill pade,a year ago,Worst hospital so far. The Triage nurse was the worst I have ever met. So unprofessional. She does not care. I waited for 30mins with no triage. Is this really an emergency Centre? No wonder patients die waiting to be attended to. If i had …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjU9PAab-ZqS7qYGSWyPsgdRRgvy1UKBJKdzJTRabW7IGwQmVLLJ=w43-h43-p-rp-mo-ba4-br100,Brandon Reeder (runnerreeder),7 months ago,"Spent 7hrs in ER to have a small chat about my MRI results to ER Dr and get a return to work note. There were a few people ahead of me but like 6-7 at 9:30am, left by 4:45pm and the waiting room was packed. Couldn't get outta there quicker....."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocK-855COdY30qThMwtC3PJ7RoMedShFZkrvFsjkThyw4GRMDg=w43-h43-p-rp-mo-ba2-br100,Rouchelle Robbins,a year ago,"I was lucky to have been at Misericordia Hospital for the delivery of my baby boy! The health care providers and staff here are amazing! From the nurses in observation to labor and delivery to postpartum, we were attended to with care and support.  Thank you to everyone who made our experience here so positive!"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVThvVCBtcu1yfqe29iXwMqYKxUIuSXdfhzgkkO9j1sGCKyBlJK=w43-h43-p-rp-mo-br100,gagan singh,a year ago,Long waiting hours at emergency. We had worst experience at this hospital. My mother had to wait 8 hours to see doctor. We waited 5 hours at front and then 3 hours in waiting room. Things should get changed. All patients at emergency should be treated the same way. AHS should make these changes for betterment of Edmontonians.
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUw1NQmJHduhHbs2d5fBhbF2pp2jg3Rh1llsYzNn8BMVWLY4hI=w43-h43-p-rp-mo-br100,Amanda Brass,10 months ago,I got discharged from the hospital after having anxiety attack for hours with no sleep or food and water. They were giving me 2 Ativan whatever I needed but once they thought I was okay they discharged me without me feeling better. And on …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVJzjPl6Jsli2ThiE_ArAsFzloXJZP6sChFjUw5awUOJVU8OosF=w43-h43-p-rp-mo-ba4-br100,redeyeclick,10 months ago,They saved my life and after being emergency for a day or 2 I was sent to 7th floor east . Nora was absolutely my favorite RN she took good care of me and she takes great care of the other 3 that were in my room .... Absolutely the most AMAZING RN EVER ... ( she deserves a raise in pay )
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUgN63Pq9qcpbsJIZOZZqCiJqNX4w-q_4YKIF-98a1x77610or3wA=w43-h43-p-rp-mo-br100,Bob McDonald,a year ago,We had terrific companionate care for my mom as she went through surgery and then recovery. Doctors and nurses were caring and gave our family space to grieve as mom succumbed to cancer. We are so appreciative of the care we received.
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjX1etHpJ0IDbE0U9DnW4JtZb3b3pUXQ1TuE86s-m7Qltjxc7sGd=w43-h43-p-rp-mo-br100,Todzia Aird,8 months ago,"We hv been to this hospital many times.

This has not been a good experience. My elderly mother who has many medical …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUvym81XI5En07WrAR3MvQRN1_RMRsBNf8XeUSpgceBr9b1L-w=w43-h43-p-rp-mo-br100,Nunya Business,a year ago,Abhorrent treatment of senior citizens in their care. The physician handling a loved one recently with difficulty breathing had the worst bedside manner I have ever experienced. First words out of the physicians mouth was “they’re not worth …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXpiKdCI03fur5OaEvfxJQntghTpb0sp3sApw878YqzWXwVwqyO=w43-h43-p-rp-mo-ba2-br100,Xarra Steele,a year ago,"My partner went to this hospital yesterday evening with the symptoms of a heart attack or other possible heart problem. He had not eaten all day and was made to wait overnight without any food or water, and when he asked for a glass of …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWcuU5dY3ybAxP4JvZL14K0g16VbbYXPcqS-0S8bfAB987ur8rE=w43-h43-p-rp-mo-ba2-br100,Sara,a year ago,"The most condescending staff I’ve ever met. I don’t care how long we have to wait, but to give an estimated wait time for parents with a toddler should be basic kindness. Also staff don’t want to deal with anyone, they just treat people like animals."
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjW_hHE6HcWnR8fEYTmcpVB6Ubpq__BmX_HzY7NXU5gum8htKsvN=w43-h43-p-rp-mo-ba4-br100,Q R,a year ago,"This hospital is a disgrace to all medical professionals.
They are a ""faith based"" medical facility, that has policies in place not to do certain medical procedures. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocKLah5wTMAc-rfM5nrjGNBzMzrALsFhWChLnekIMyzOM_lH6Gw=w43-h43-p-rp-mo-ba2-br100,BILL MCCUE,6 months ago,I had a problem with my heart and I went into the new emergency and I was very impressed they got me rolling right away I was in a room within 5 minutes they checked me out six ways to Sunday and and resolve any issues and very professional …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVKElOClUyWeg8eRKohpCHD7dWnn04kaOryK-PKOwGhgd_lMRc=w43-h43-p-rp-mo-br100,rhonda burry,a year ago,"I had a knee replacement on a Monday, the staff before and right after surgery were amazing but when I was put in a room everything changed. Hospital is not clean, lady in bed next to me had a mess in the toilet and it was there for over 24 …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUp50laSEpzjNYMsbctqYxuZzW3Bf9bIrjgQz84b1wqP2lY4uj0sg=w43-h43-p-rp-mo-ba5-br100,Alexis Sampogna,2 years ago,"I went in with food poisoning. Despite health link saying to go to emergency ASAP I wasn't seen for 5 hours. I was nauseous while sitting or standing and they had no other option for me, I was not able to lay down anywhere, I ended up just …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXyNRcP0emT7O5ZsAh25IpLBejCMPcVw1X44DqVEE9q87oC0Ok=w43-h43-p-rp-mo-br100,Andrew McDonald,a year ago,I have a loved one whose partner passed away a few years ago from this post. And when I was helping my loved one go through belongings of their passed partner the Misericordia packed the breathing equipment from the patients stay (my loved …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWOunkmjWZhuZ_Dprj-xF9UyqrJCpTRtXh6Sb534r5Y0tBT6mY=w43-h43-p-rp-mo-br100,kaleigh ruddell,a year ago,this was just yesterday. i was getting really bad stomach pain. i couldn’t even move or hold my baby . but then i went to the hospital waited in the room for 6 hours then they took me to the other room and i went in with 6 people and all …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLSQl53RVkUNKn0MsF0e9W7tNWDuNUlE9XEzWUcrOzCICRDcg=w43-h43-p-rp-mo-br100,dawn kennedy,7 months ago,"I am horrified. My husband put in him in a hyperbaric chamber for accidental 35 percent peroxide poisoning.
They transported him from Rocky to Edmonton to do this. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocItpurJIDMb7Dq3LtBSO4ORXoznbzY882tVXMNQ8M0v-sXkig=w43-h43-p-rp-mo-ba4-br100,Always Honest,a year ago,The nurses here actually care about people . Especially Danielle who works in the surgery unit . She is extremely kind and thoughtful. I am thankful to have been brought to this hospital after I had seizures again. This hospital is …
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocKuJwUqMdWjd2-gL52pmPAmPPF4MwIeSrpI3gm1c6eWPHLMKA=w43-h43-p-rp-mo-ba4-br100,Dean Reid,a year ago,Brand new emergency. Over 6 hour wait to even see a doctor. Kinda a joke. Hopefully the new emergency room gets better that is not acceptable. The nurses and admitting people were great.
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocIFPnvXAOPy4Ca4SEPpeq12e3xyqbZiLMepyWjtph5Mcs1Diw=w43-h43-p-rp-mo-br100,Allan Aquin,a year ago,"Wife went in to emergency waited for hours, with severe pain on left side. Saw Dr. Deanne Watrich just gave her a urine test. Said everything was fine. Said it was just a pulled muscle. We went home and looked on my alberta health to check …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWSO-UPQgUsta32E40hDpYhHsB4St_Fupse4o6ld-2ZTVIdU9RN=w43-h43-p-rp-mo-ba3-br100,Mahdi Abbas,4 months ago,good hospital with good and profesional staff took really good care of me the nurses are amazing and so are the doctor god bless all of u.
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVHj8o1WZMlKvCNmlcrVcZo28qJR1oTqIVBTTZbY4jdwHaMnvIL=w43-h43-p-rp-mo-ba2-br100,Ruth,a year ago,"If needing longer admission, this is the best hospital cafeteria in the city. They have fresh made healthy food daily, with each meal having vegetarian and gluten free options. Reasonable pricing. Also great courtyard, and psych ward is …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a/ACg8ocLm7To4ZZkftXJRgiwWci1pLchqCzvuXtZiIMsuJ2zRoqjSUw=w43-h43-p-rp-mo-br100,Alyssa Ropcean,a year ago,"So I have been to this hospital multiple times throughout the years (usually not by choice). Sometimes having to stay here for long periods of time. I have met some very lovely caring, genuine staff and patients. But like any situation you …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjUSAvGwgzxADUMu6ynxKDjTOv_4OM30JxnY02rU8xPEW3QgC_I=w43-h43-p-rp-mo-ba3-br100,Katrina Bradford,a year ago,"Stereotypes, judgment, and pure disregard. Met with rude tones, assumption and contradictory under the breathe comments from the emergency doctor and unit clerk. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjWsD493i422SQq4rBc_TrOs9KTJ-nAUMO8bVKDy6gJUkQkIFW3Y=w43-h43-p-rp-mo-br100,Izhar Korai,a year ago,"I got Hip Arthroscopy done here on Jan 25, 2023. I just wanted to share my surgery experience. This was my first surgery and I was very nervous. …"
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjVvN37AwQCOJZBQSlMFnBDs5omlBObCLDkuXJCeQBSjB47uC54=w43-h43-p-rp-mo-ba3-br100,Evelyn Bolton,11 months ago,I'm  have been sitting in the emergency  since 6:30pm .I know it can be a busy  place.But it's Christmas  day and they only have 1 doctor . WHAT A DISGRACE.  When you  ask why their answer was. Is is a personal matter. What no doctors  want to work. Christmas  is more  important. What is our Healthcare  paying for. It is now 10:30pm
"Misericordia Community Hospita,AB",https://lh3.googleusercontent.com/a-/ALV-UjXC6IydVLaTKFy_yRa7hQCwtKeYwOCxfJbt0TSOdyvXKK7cxWM=w43-h43-p-rp-mo-ba2-br100,Roxie Pompana,2 years ago,"I’ve been here a few times and every time the nurse are just so amazing, sweet and understanding. Going into the ER I worried what kind of doctor I would get but I got a great one who listened to me and made me feel safe and not so worried …"
